customer_id,risk_score,risk_bucket,util_ratio_snap,pay_to_bal_snap,delinq_trend_snap,created_at
CUST10000,99.0,VERY_CRITICAL,0.7344,0.659,0.2113,2024-10-01 00:00:00
CUST10000,97.51,VERY_CRITICAL,0.8122,0.5628,0.2901,2024-11-07 00:00:00
CUST10000,93.55,VERY_CRITICAL,0.7825,0.5526,0.2133,2024-12-14 00:00:00
CUST10000,99.0,VERY_CRITICAL,0.7661,0.5642,0.1863,2025-01-20 00:00:00
CUST10000,97.77,VERY_CRITICAL,0.746,0.5825,0.2185,2025-02-26 00:00:00
CUST10001,57.81,HIGH_RISK,0.3353,0.4689,-0.1701,2024-10-01 00:00:00
CUST10001,62.08,CRITICAL,0.3359,0.482,-0.0584,2024-12-02 00:00:00
CUST10001,59.37,HIGH_RISK,0.2978,0.4764,-0.1854,2025-02-02 00:00:00
CUST10002,95.04,VERY_CRITICAL,0.1489,0.4288,-0.0289,2024-10-01 00:00:00
CUST10002,99.0,VERY_CRITICAL,0.145,0.5044,-0.0152,2024-12-02 00:00:00
CUST10002,95.52,VERY_CRITICAL,0.1795,0.4457,-0.0522,2025-02-02 00:00:00
CUST10003,21.78,LOW_RISK,0.1671,1.0,0.0627,2024-10-01 00:00:00
CUST10003,17.31,LOW_RISK,0.1362,1.0,-0.0149,2024-11-07 00:00:00
CUST10003,10.72,LOW_RISK,0.1549,1.0,0.0458,2024-12-14 00:00:00
CUST10003,13.96,LOW_RISK,0.1075,1.0,0.0345,2025-01-20 00:00:00
CUST10003,13.15,LOW_RISK,0.1339,0.9814,0.0904,2025-02-26 00:00:00
CUST10004,22.64,LOW_RISK,0.1682,1.0,0.092,2024-10-01 00:00:00
CUST10004,25.35,LOW_RISK,0.1764,0.9984,0.0886,2024-12-02 00:00:00
CUST10004,19.09,LOW_RISK,0.186,0.9838,0.1052,2025-02-02 00:00:00
CUST10005,28.16,LOW_RISK,0.0179,0.7974,-0.0735,2024-10-01 00:00:00
CUST10005,27.43,LOW_RISK,0.0,0.794,-0.1707,2024-11-01 00:00:00
CUST10005,28.56,LOW_RISK,0.0,0.8119,-0.1383,2024-12-02 00:00:00
CUST10005,28.42,LOW_RISK,0.031,0.7541,-0.2047,2025-01-02 00:00:00
CUST10005,27.81,LOW_RISK,0.0177,0.7886,-0.1747,2025-02-02 00:00:00
CUST10005,31.8,HIGH_RISK,0.0,0.7896,0.01,2025-03-05 00:00:00
CUST10006,23.56,LOW_RISK,0.1407,0.7562,0.0828,2024-10-01 00:00:00
CUST10006,30.39,HIGH_RISK,0.0967,0.6938,0.1154,2024-11-01 00:00:00
CUST10006,20.42,LOW_RISK,0.0855,0.7186,0.1227,2024-12-02 00:00:00
